Code,Designation,Stock,Emplacement,Prix d'achat,Prix de vente HT,Prix de vente TTC,
08320,PARECHOC AR MEGANE III *2PORTE*,0,,88.087,132.130,157.234,
104254,AMORTISSEUR AV CLIO CHIPIE,2,BUREAU,73.000,137.240,163.315,
12010200,PAREHUILE SOUPAPE DCI,-1,,1.670,2.505,2.980,
1503,BIELLE DIRECTION LAGUNA AM,0,,14.668,22.002,26.182,
3PK750B,COURROIE ALT *3PK750*,-2,T**,10.199,13.768,16.383,
IC15-1053,BOBINE ALUMAGE CLIO /KANGOO,1,11D,73.278,98.925,117.720,
256890,POIGNEE DE PORTE AV G KANGOO,0,,13.990,20.985,24.972,
710175,OPTIQUE 206 D,0,,77.379,104.461,124.308,
3625,SPOILER SOUS PARECHOC CLIO 2001,0,COIN*,29.848,44.772,53.278,
4005133,SILENTBLOC BARRE AR MASTER NM,2,4E2,25.893,33.661,40.056,
421093,CABLE EMBRAYAGE R19,0,,20.851,27.106,32.256,
480138 A,OPTIQUE CLIO D,0,,80.295,104.384,124.216,
53151,CABLE VITESSE MEGANE II *BLEU*,0,,64.800,90.720,107.956,
59811281,JEUX DE PISTON KANGOO Q80.5,0,,257.000,334.100,397.579,
633532,AMORTISSEUR AR ISUZU,0,,14.479,20.271,24.122,
731909,RADIATEUR D'EAU CLIO /KANGOO NM ESS,0,,73.067,109.601,130.425,
7701054967,CACHE VENTILATEUR MEGANE II,0,,123.219,160.185,190.620,
889 ,PATIN AV MAZDA,0,,61.218,82.644,98.346,
8200247950,SERRURE CAPOT KANGOO NM,0,,58.016,75.421,89.750,
NI-BJ-13545,ROTULE SUSP MICRA K13,0,2C,26.946,36.377,43.288,
9290401,BIELLE DIRECTION MASTER II,0,,24.686,32.092,38.189,
DDF1124,JEUX DE DISQUE AV MEGANE II,0,4**,146.781,198.154,235.803,
GS0552,AMORTISSEUR MAL R19 *COUPE*,2,,24.704,32.115,38.216,
PU-RC6,GRILLE PARECHOC CLIO III 09,0,,55.900,83.850,99.781,
RX26105,TENDEUR DE CHAINE MEGANE /LAGUNA ESS,2,15D,20.417,32.667,38.873,
8200134513,TUBE D'EAU MEGANE II *ESS*,0,9E2,15.998,47.994,57.112,
EFM1160304,JAUGE RESERVOIR CLIO III,1,FA,163.636,220.908,262.880,
951202,SUPPORT MOTEUR AV LOGAN D ,0,,106.515,143.795,171.116,
R3589/S,SOUPAPE ADM R9 /EXP /R19 ESS,0,16A*,4.809,6.492,7.725,
6138520000 STD,JEUX DE COUSS B CLIO /KANGOO DIESEL *STD*,0,16D**,28.471,45.553,54.208,
7700873701,BOBINE ALUMAGE CLIO /KANGOO,0,,52.937,71.464,85.042,
PX-KAD13-RL,BAGUETTE DE PORTE AR KADJAR G,1,DEPOT,86.227,116.406,138.523,
FS05090,TENDEUR DE CHAINE R9 DIESEL *PM*,0,,21.498,29.022,34.536,
LLI212,FEU AR CLIO 4 G *MOBILE*,0,,106.658,143.988,171.345,
111-01-1005R,ROTULE DIRECTION JUKE D ,0,4A*,32.905,53.635,63.825,
05-0362,MAITRE CYLINDRE.,-1,2,0.000,0.000,0.000,
RE-ES-3755,ROTULE DIRECTION LOGAN /DOKKER /SYMBOL II G,1,2C,28.270,38.164,45.415,
HYK92101C7120,OPTIQUE HYUNDAI I20 G,0,,1335.295,1802.648,2145.151,
004441,JOINT CULASSE CLIO 4 TCE *3CYL*,1,7C**,59.439,80.242,95.487,
13456178,TRAVERSE ASTRA J,-1,,728.598,859.745,1023.096,
04-0984,CYLINDRE DE ROUE LOGAN /DOKKER /MICRA,1,3D,21.285,28.734,34.193,
562410CH,JEUX DE DISQUE AV SCENIC II ,0,,125.836,169.878,202.154,
ART0011201,POIGNE.,-6,,0.000,0.000,0.000,
144607440R,DURITE TURBO DOKKER,0,BUREAU,270.924,528.301,628.678,
3583,FEU DE COTE SYMBOL I G,0,16EC**,11.135,15.032,17.888,
133HTDP26,COURROIE DE CHAINE 1.9DCI *133D*,0,16C,48.194,65.061,77.422,
9925,COUVERCLE FILTRE A HUILE QASHQAI J10 /TRAFIC ,0,18C**,12.958,17.493,20.816,
732819,RADIATEUR D'EAU TWINGO,0,,424.950,573.682,682.681,
133313,JAUGE RESERVOIR CLIO *2SORTIE*,0,FA,199.838,269.781,321.039,
7PK1770H,COURROIE ALT 7PK1770,1,T**,38.221,51.598,61.401,
3304020,CORP THERMOSTAT MEGANE II /III ESS,0,11D,59.845,107.721,128.187,
ART0014029,PASTILLE.,-4,,0.000,0.000,0.000,
3557,ANTIB CLIO 2002 G,0,5A,33.222,44.849,53.370,
KD455.49,KIT CHAINE 1.5DCI 123D,1,16C,143.970,194.359,231.287,
535034510,POULIE ALT SCE,1,15B,58.699,96.853,115.255,
ART0015066,MOTEUR ESUI-GLACE.,-1,,0.000,0.000,0.000,
19008003-00,JEUX DE SEGMENT Q80 DCI *2.5X2.0X3.0* C,1,11A,88.654,119.682,142.421,
15LO002,PAREBOUE AV LOGAN G ,1,DP,23.787,32.112,38.213,
0845000010,JEUX DE SEGMENT Q69 *1.2X1.5X2.5* CLASSIC,0,11A,153.664,207.446,246.860,
104255,AMORTISSEUR AV CLIO II,0,BUREAU,97.570,131.719,156.745,
12010674B,PAREHUILE ARB 30X42X7 BOMBEE,4,A3**,4.436,14.195,16.892,
150453,TETE CARDAN MASTER NM*D.PM*ABS,0,,44.650,71.440,85.013,
4pk1538b,COURROIE ALT *4PK1538*,0,T**,15.112,20.401,24.277,
224332428R,BOBINE ALUMAGE CLIO 4 /QASHQAI TCE,1,FA,96.996,130.944,155.823,
256891,POIGNEE DE PORTE AV D KANGOO,0,,13.162,19.743,23.494,
B03072684,RETROVISEUR DOKKER D *ELECTRIQUE*,0,17B**,95.945,129.525,154.134,
03625,FEU RETROVISEUR SYMBOL II G,0,16EC*,19.685,26.574,31.623,
4005146,BIELLE SUSP MEGANE II *GM*,0,2F,21.269,28.713,34.168,
00000442754,AGRAFFE  ,-24,FA,0.000,0.000,0.000,
480305,OPTIQUE CLIO 98 G,0,**,103.267,134.247,159.753,
53152,CABLE VITESSE MEGANE II *GRIS*,0,,64.800,90.720,107.956,
59813280,JEUX DE PISTON LAGUNA/TRAFIC Q80 1.9DCI,1,13*,500.000,625.000,743.750,
ART0012864,FEU AR D AUDI A3 *FIX*,-1,,0.000,0.000,0.000,
731910,RADIATEUR D'EAU KANGOO DIESEL 1.9,0,,249.000,336.150,400.018,
7701056972,CAOUTCHOU CACHE MOTEUR MEGANE II /QASHQAI,0,A1*,12.360,15.450,18.385,
7830,DURITE SUP R19 DIESEL,0,4F1,8.870,14.192,16.888,
8200255423,JAUGE D'HUILE CLIO CLASSIC*LB27*,0,,40.560,50.700,60.333,
828943-0.50,JEUX DE COUSS B 66645RA0.50,-1,,14.995,28.491,33.904,
9290410,BIELLE DIRECTION CLIO /KANGOO *PM*,0,3A,9.445,13.223,15.735,
DDF1201,JEUX DE DISQUE AV MEGANE II /CLIO III,0,8**,107.806,145.538,173.190,
GS0694,AMORTISSEUR MAL MEGANE II,-1,,17.127,32.541,38.723,
PU-RC6-1,BAGUETTE PARECHOC AV CLIO III *SOUS GRILLE*,0,COIN*,48.913,63.587,75.668,
34126,VENTILATEUR CHAUFAGE MEGANE II,0,F*,120.858,163.158,194.158,
2178g,AMORTISSEUR AV MASTER 98 ,0,,86.669,117.003,139.233,
